No de Permiso,Nombre de la gasolinera,Dirección,Producto,Subproducto,Precio registrado
PL/22629/EXP/ES/2019,"SANTA MARÍA AZTAHUACAN, S.A. DE C.V.",AV. DE LAS TORRES NÚMERO 4,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$25.49
PL/22629/EXP/ES/2019,"SANTA MARÍA AZTAHUACAN, S.A. DE C.V.",AV. DE LAS TORRES NÚMERO 4,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.99
PL/22629/EXP/ES/2019,"SANTA MARÍA AZTAHUACAN, S.A. DE C.V.",AV. DE LAS TORRES NÚMERO 4,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.59
PL/24407/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Calle Dr. Vertiz, número 640",Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.49
PL/24407/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Calle Dr. Vertiz, número 640",Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.49
PL/24407/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Calle Dr. Vertiz, número 640",Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.49
PL/24407/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Calle Dr. Vertiz, número 640",Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.49
PL/24407/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Calle Dr. Vertiz, número 640",Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.49
PL/24407/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Calle Dr. Vertiz, número 640",Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.49
PL/24407/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Calle Dr. Vertiz, número 640",Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.49
PL/24407/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Calle Dr. Vertiz, número 640",Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.49
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Diésel,Diésel,$24.99
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Gasolinas,Regular (con contenido menor a 92 octanos),$24.29
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Diésel,Diésel,$24.99
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Gasolinas,Regular (con contenido menor a 92 octanos),$24.29
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Diésel,Diésel,$24.99
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Gasolinas,Regular (con contenido menor a 92 octanos),$24.29
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Diésel,Diésel,$24.99
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462,Gasolinas,Regular (con contenido menor a 92 octanos),$24.29
PL/24484/EXP/ES/2022,SERVICIO ROGOSA S.A. DE C.V.,AVENIDA GUELATAO 156,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$23.99
PL/24484/EXP/ES/2022,SERVICIO ROGOSA S.A. DE C.V.,AVENIDA GUELATAO 156,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$24.49
PL/24484/EXP/ES/2022,SERVICIO ROGOSA S.A. DE C.V.,AVENIDA GUELATAO 156,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.85
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Diésel,Diésel,$24.89
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.59
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Diésel,Diésel,$24.89
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.59
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Diésel,Diésel,$24.89
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.59
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Diésel,Diésel,$24.89
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.59
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan No. 842,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.99
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan No. 842,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.39
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan No. 842,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.99
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan No. 842,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.39
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan No. 842,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.99
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan No. 842,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.39
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan No. 842,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.99
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan No. 842,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.39
PL/2600/EXP/ES/2015,SÚPER SERVICIO PERIFÉRICO S.A. DE C.V.,Avenida Michoacán No. 20,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.39
PL/2600/EXP/ES/2015,SÚPER SERVICIO PERIFÉRICO S.A. DE C.V.,Avenida Michoacán No. 20,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$24.69
PL/2600/EXP/ES/2015,SÚPER SERVICIO PERIFÉRICO S.A. DE C.V.,Avenida Michoacán No. 20,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.49
PL/2612/EXP/ES/2015,GASOLINERIA PAGA S.A. DE C.V.,Avenida Ignacio Zaragoza No. 2608,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.99
PL/2612/EXP/ES/2015,GASOLINERIA PAGA S.A. DE C.V.,Avenida Ignacio Zaragoza No. 2608,Gasolinas,Regular (con contenido menor a 92 octanos),$23.63
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Diésel,Diésel,$24.90
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.50
